分类	食物名称	嘌呤含量(mg/100g)	嘌呤分类	来源/推断说明
主食类	大米（白米）	18	低	《中国食物成分表》
主食类	糙米	22	低	日本食品标准成分表
主食类	糯米	17	低	同白米推算
主食类	黑米	20	低	同糙米推算
主食类	面条（小麦）	19	低	《中国食物成分表》
主食类	馒头	17	低	推算（小麦粉加工均值）
主食类	包子（含馅料）	20	低	同馒头推算
主食类	玉米	9	低	美国农业部数据库
主食类	燕麦	24	低	《中国食物成分表》
主食类	小米	20	低	日本食品标准成分表
主食类	荞麦	35	低	推算（全谷物均值）
主食类	高粱	22	低	同小米推算
主食类	藜麦	28	低	美国农业部数据库
主食类	大麦	25	低	同燕麦推算
主食类	黑麦	26	低	同大麦推算
主食类	薏仁	18	低	《中国食物成分表》
主食类	青稞	23	低	同大麦推算
主食类	青稞面	25	低	同青稞+加工推算
主食类	藜麦米	28	低	同藜麦干品数据
主食类	鹰嘴豆粉	109	中	推算（干豆类均值）
主食类	青稞粥	10	低	因水分稀释（青稞→粥）
主食类	荞麦茶	5	低	推算（茶水嘌呤极低）主食类
主食类	薏仁粥	8	低	同薏仁+水分稀释
主食类	燕麦麸皮	27	低	同燕麦推算
主食类	玉米片	15	低	推算（玉米加工品）
主食类	小麦胚芽	30	低	美国农业部数据库
主食类	黑麦面包	22	低	同黑麦+加工推算
主食类	全麦意面	20	低	同全麦粉数据
主食类	糙米饭团	18	低	同糙米+水分推算
主食类	土豆	6	低	《中国食物成分表》
主食类	红薯	7	低	《中国食物成分表》
主食类	山药	5	低	同土豆推算
主食类	芋头	10	低	《中国食物成分表》
主食类	紫薯	8	低	同红薯推算
主食类	木薯	9	低	美国农业部数据库
主食类	粉丝（红薯粉）	10	低	推算（红薯加工品）
主食类	粉丝（绿豆粉）	15	低	推算（绿豆加工品）
主食类	魔芋	0	极低	日本食品标准成分表
主食类	葛根粉	12	低	推算（根茎类淀粉均值）
主食类	藕粉	8	低	同莲藕推算
主食类	红薯粉条	10	低	同红薯粉丝
主食类	山药粉	5	低	同山药推算
主食类	芋头糕	12	低	芋头+加工水分稀释
主食类	紫薯饼	15	低	紫薯+糖油添加推算
主食类	木薯布丁	10	低	木薯+牛奶稀释
主食类	葛根粉羹	12	低	同葛根粉推算
主食类	藕粉圆子	8	低	同藕粉推算
主食类	魔芋丝	0	极低	同魔芋数据
主食类	蕨根粉	18	低	日本食品标准成分表
主食类	黄豆（干）	166	高	美国农业部数据库
主食类	黑豆（干）	137	中高	《中国食物成分表》
主食类	绿豆（干）	75	中	《中国食物成分表》
主食类	红豆（干）	80	中	日本食品标准成分表
主食类	鹰嘴豆（干）	109	中	美国农业部数据库
主食类	豌豆（干）	84	中	《中国食物成分表》
主食类	扁豆（干）	92	中	日本食品标准成分表
主食类	蚕豆（干）	110	中高	《中国食物成分表》
主食类	芸豆（干）	88	中	日本食品标准成分表
主食类	刀豆（干）	95	中	推算（豆类均值）
主食类	豆浆（未加糖）	27	低	因水分稀释（干豆→豆浆）
