分类	食物名称	嘌呤含量(mg/100g)	嘌呤分类	来源/推断说明
谷物类	大米（白米）	18	低	《中国食物成分表》
谷物类	糙米	22	低	日本食品标准成分表
谷物类	糯米	17	低	同白米推算
谷物类	黑米	20	低	同糙米推算
谷物类	面条（小麦）	19	低	《中国食物成分表》
谷物类	馒头	17	低	推算（小麦粉加工均值）
谷物类	包子（含馅料）	20	低	同馒头推算
谷物类	玉米	9	低	美国农业部数据库
谷物类	燕麦	24	低	《中国食物成分表》
谷物类	小米	20	低	日本食品标准成分表
谷物类	荞麦	35	低	推算（全谷物均值）
谷物类	高粱	22	低	同小米推算
谷物类	藜麦	28	低	美国农业部数据库
谷物类	大麦	25	低	同燕麦推算
谷物类	黑麦	26	低	同大麦推算
谷物类	薏仁	18	低	《中国食物成分表》
谷物类	青稞	23	低	同大麦推算
谷物类	青稞面	25	低	同青稞+加工推算
谷物类	藜麦米	28	低	同藜麦干品数据
谷物类	鹰嘴豆粉	109	中	推算（干豆类均值）
谷物类	青稞粥	10	低	因水分稀释（青稞→粥）
谷物类	荞麦茶	5	低	推算（茶水嘌呤极低）
谷物类	薏仁粥	8	低	同薏仁+水分稀释
谷物类	燕麦麸皮	27	低	同燕麦推算
谷物类	玉米片	15	低	推算（玉米加工品）
谷物类	小麦胚芽	30	低	美国农业部数据库
谷物类	黑麦面包	22	低	同黑麦+加工推算
谷物类	全麦意面	20	低	同全麦粉数据
谷物类	糙米饭团	18	低	同糙米+水分推算
薯类及淀粉制品	土豆	6	低	《中国食物成分表》
薯类及淀粉制品	红薯	7	低	《中国食物成分表》
薯类及淀粉制品	山药	5	低	同土豆推算
薯类及淀粉制品	芋头	10	低	《中国食物成分表》
薯类及淀粉制品	紫薯	8	低	同红薯推算
薯类及淀粉制品	木薯	9	低	美国农业部数据库
薯类及淀粉制品	粉丝（红薯粉）	10	低	推算（红薯加工品）
薯类及淀粉制品	粉丝（绿豆粉）	15	低	推算（绿豆加工品）
薯类及淀粉制品	魔芋	0	极低	日本食品标准成分表
薯类及淀粉制品	葛根粉	12	低	推算（根茎类淀粉均值）
薯类及淀粉制品	藕粉	8	低	同莲藕推算
